id,aleacion,composicion,categoria,fabricacion,fase,densidad,dureza,modulo_young,limite_elastico,esfuerzo_ultimo,deformacion
295,"AlCoCrFeNiTi0,5","Al-Co-Cr-Fe-Ni-Ti0,6",HEA,Fusion por arco + refundicion por vacio e inyeccion,BCC,NA,NA,177.7,2260,3140,23.3
296,AlCoCrFeNiTi,Al-Co-Cr-Fe-Ni-Ti,HEA,Fusion por arco + refundicion por vacio e inyeccion,BCC,NA,NA,90.1,1860,2580,8.8
297,"AlCoCrFeNiTi1,5","Al-Co-Cr-Fe-Ni-Ti1,6",HEA,Fusion por arco + refundicion por vacio e inyeccion,BCC+IM,NA,NA,159.8,2220,2720,5.3
298,AlCoFeNiTiVZr,Al-Co-Cr-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,BCC+IM,6.2,790,143,NA,NA,NA
299,AlCoCrFeNiTiVZr,Al-Co-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,BCC+IM,6.3,780,NA,NA,NA,NA
300,FeMoNiTiVZr,Fe-Mo-Ni-Ti-V-Zr,HEA,Fusion por arco,BCC+IM,7.1,740,168,NA,NA,NA
301,CoCrCuFeNiTiVZr,Co-Cr-Cu-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,FCC+BCC+IM,7.1,680,193,NA,NA,NA
302,CoCrFeMoNiTiVZr,Co-Cr-Fe-Mo-Ni-Ti-V-Zr,HEA,Fusion por arco,BCC+IM,7.3,850,NA,NA,NA,NA
303,CoCuFeNiTiVZr,Co-Cu-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,FCC+BCC,7.1,630,NA,NA,NA,NA
304,CoFeMoNiTiVZr,Co-Fe-Mo-Ni-Ti-V-Zr,HEA,Fusion por arco,FCC+BCC+IM,7.3,790,NA,NA,NA,NA
305,CuFeNiTiVZr,Cu-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,FCC+BCC+IM,6.8,590,142,NA,NA,NA
306,AlFeNiTiVZr,Al-Fe-Ni-Ti-V-Zr,HEA,Fusion por arco,BCC,5.9,800,132,NA,NA,NA
307,CoCrFeMnNi,Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,8,180,219,208,NA,62
308,Al0.10CoCrFeMnNi,Al0.10-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,7.9,180,216,NA,NA,NA
309,Al0.20CoCrFeMnNi,Al0.20-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,7.7,171,214,220,NA,56
310,Al0.38CoCrFeMnNi,Al0.38Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC,7.5,182,209,244,NA,45
311,Al0.43CoCrFeMnNi,Al0.43-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7.4,183,208,285,NA,35
312,Al0.49CoCrFeMnNi,Al0.49-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7.4,220,206,331,NA,29
313,Al0.56CoCrFeMnNi,Al0.56-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7.3,278,204,526,NA,16
314,Al0.62CoCrFeMnNi,Al0.62-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7.2,405,203,833,NA,5
315,Al0.68CoCrFeMnNi,Al0.68-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7.2,486,202,NA,NA,NA
316,Al0.75CoCrFeMnNi,Al0.75-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7.1,530,200,NA,NA,NA
317,Al0.81CoCrFeMnNi,Al0.81-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7,539,199,NA,NA,NA
318,Al0.88CoCrFeMnNi,Al0.88-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,7,533,197,NA,NA,NA
319,Al0.95CoCrFeMnNi,Al0.95-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,FCC+BCC,6.9,535,196,NA,NA,NA
320,Al1.25CoCrFeMnNi,Al1.25-Co-Cr-Fe-Mn-Ni,HEA,Fusion por arco,BCC,6.6,539,190,NA,NA,NA
321,Co-Cr-Fe-Ni,Co-Cr-Fe-Ni,MEA,Fusion por arco,FCC,NA,160,NA,140,488,83
322,CoCrFeNiMn,Co-Cr-Fe-Ni-Mn,HEA,Fusion por arco,FCC,NA,170,NA,215,491,71
323,CoCrFeNiV,Co-Cr-Fe-Ni-V,HEA,Fusion por arco,FCC,NA,524,NA,NA,311,NA
324,CoCrFeNiMnV,Co-Cr-Fe-Ni-Mn-V,HEA,Fusion por arco,FCC,NA,650,NA,NA,90,NA
325,CoCrFeNi,Co-Cr-Fe-Ni,MEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC,NA,134,NA,130,458,87
326,CoCrFeNiMn,Co-Cr-Fe-Ni-Mn,HEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC,NA,135,NA,162,443,68
327,CoCrFeNiV,Co-Cr-Fe-Ni-V,HEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC,NA,587,NA,NA,330,NA
328,CoCrFeNiMnV,Co-Cr-Fe-Ni-Mn-V,HEA,Fusion por arco + homogenizado 1000°C por 24 h,FCC,NA,636,NA,NA,62,NA
329,CoCrFeMnNi,"Co19,9-Cr20,6-Fe20,1-Ni20,0-Mn19,5",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,8,144,219,230,NA,75
330,CoCrFeMnNiV0.25,"Co19,3-Cr20,0-Fe19,6-Ni19,5-Mn17-V4,6",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,7.9,151,215,200,NA,75
331,CoCrFeMnNiV0.5,"Co18,9-Cr18,8-Fe18,4-Ni18,0-Mn17,8-V9,1",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,7.8,186,211,620,NA,75
332,CoCrFeMnNiV0.75,"Co17,2-Cr17,5-Fe18,2-Ni17,2-Mn16,5-V13,3",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,7.7,342,NA,740,1325,8
333,CoCrFeMnNiV1.0,"Co16,2-Cr17-Fe17,2-Ni16,5-Mn16,1-V17",HEA,Fusion por arco + Recocido 1000°C por24 h,FCC,7.7,650,NA,1660,1845,1
334,Al0.5CrFe1.5MnNi0.5,Al0.5-Cr-Fe1.5-Mn-Ni0.6,HEA,Fusion por arco,BCC,7,396,206,NA,NA,NA
335,Al0.3CrFe1.5MnNi0.5,Al0.3-Cr-Fe1.5-Mn-Ni0.6,HEA,Fusion por arco,FCC+BCC,7.2,297,213,NA,NA,NA
336,AlCrFeNi,Al-Cr-Fe-Ni,MEA,Fusion por arco + homogenizacion por agitacion electromagnetica,BCC,6.3,472,190,1406,2927,29
337,AlCrFeNiMo0.2,Al-Cr-Fe-Ni-Mo-0.2,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica,BCC,6.5,549,197,1487,3222,29
338,AlCrFeNiMo0.5,Al-Cr-Fe-Ni-Mo-0.5,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica,BCC,6.8,622,205,1749,2644,13
339,AlCrFeNiMo0.8,Al-Cr-Fe-Ni-Mo-0.8,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica,BCC+IM,7,854,NA,1513,1513,1
340,AlCrFeNiMo,Al-Cr-Fe-Ni-Mo,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica,BCC+IM,7.2,905,NA,NA,NA,NA
341,CoCrCuFe,Co-Cr-Cu-Fe,HEA,N/A,FCC,8.2,134,206,NA,NA,NA
342,Al0.3CoCrCuFe,Al0.3-Co-Cr-Cu-Fe,HEA,N/A,FCC,7.7,180,194,NA,NA,NA
343,Al0.5CoCrCuFe,Al0.5-Co-Cr-Cu-Fe,HEA,N/A,FCC,7.4,207,187,NA,NA,NA
344,Al0.8CoCrCuFe,Al0.8-Co-Cr-Cu-Fe,HEA,N/A,FCC+BCC,7,271,177,NA,NA,NA
345,AlCoCrCuFe,Al-Co-Cr-Cu-Fe,HEA,N/A,FCC+BCC,6.8,407,172,NA,NA,NA
346,Al1.3CoCrCuFe,"Al1,3-Co-Cr-Cu-Fe",HEA,N/A,FCC+BCC,6.5,476,165,NA,NA,NA
347,Al1.5CoCrCuFe,"Al1,5-Co-Cr-Cu-Fe",HEA,N/A,FCC+BCC,6.3,510,167,NA,NA,NA
348,Al1.8CoCrCuFe,Al1.8-Co-Cr-Cu-Fe,HEA,N/A,FCC+BCC,6,557,155,NA,NA,NA
349,Al2.0CoCrCuFe,"Al2,0-Co-Cr-Cu-Fe",HEA,N/A,FCC+BCC,5.9,567,152,NA,NA,NA
350,Al2.3CoCrCuFe,"Al2,3-Co-Cr-Cu-Fe",HEA,N/A,FCC+BCC,5.7,603,147,NA,NA,NA
351,Al2.5CoCrCuFe,"Al2,5-Co-Cr-Cu-Fe",HEA,N/A,FCC+BCC,5.6,624,144,NA,NA,NA
352,Al2.8CoCrCuFe,"Al2,8-Co-Cr-Cu-Fe",HEA,N/A,BCC,5.5,657,140,NA,NA,NA
353,Al3.0CoCrCuFe,"Al3,0-Co-Cr-Cu-Fe",HEA,N/A,BCC,5.4,644,138,NA,NA,NA
354,Cu0.5CoCrFeNi,Cu0.5-Co-Cr-Fe-Ni,HEA,Fundicion bajo atmosfera de argon,FCC,8.3,172,214,NA,NA,NA
355,CoCrCuFeNi,Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,8.3,132,56,230,NA,NA
356,Al0.3CoCrCuFeNi,Al0.3-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,7.9,180,198,NA,NA,NA
357,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,7.6,210,193,388,NA,NA
358,Al0.8CoCrCuFeNi,Al0.8-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,7.3,270,187,NA,NA,NA
359,AlCoCrCuFeNi,Al-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC+BCC,7.1,406,183,950,NA,NA
360,Al1.3CoCrCuFeNi,Al1.3-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC+BCC,6.8,470,178,NA,NA,NA
361,Al1.5CoCrCuFeNi,Al1.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC+BCC,6.6,506,133,NA,NA,NA
362,Al1.8CoCrCuFeNi,Al1.8-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC+BCC,6.4,650,170,NA,NA,NA
363,Al2CoCrCuFeNi,"Al2,0-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,FCC+BCC,6.3,560,167,1620,NA,NA
364,Al2.3CoCrCuFeNi,"Al2,3-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,FCC+BCC,6.1,600,163,NA,NA,NA
365,Al2.5CoCrCuFeNi,"Al2,5-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,FCC+BCC,6,620,161,NA,NA,NA
366,Al2.8CoCrCuFeNi,"Al2,8-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,BCC,5.8,650,157,NA,NA,NA
367,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion,FCC,7.6,300,193,NA,NA,NA
368,Al0.5B0.2CoCrCuFeNi,Al0.5-B0.2-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion,FCC+IM,7.7,415,NA,NA,NA,NA
369,Al0.5B0.6CoCrCuFeNi,Al0.5-B0.6-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion,FCC+IM,7.7,505,NA,NA,NA,NA
370,Al0.5BCoCrCuFeNi,Al0.5-B-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion,FCC+IM,7.8,736,NA,NA,NA,NA
371,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,7.6,225,193,NA,NA,NA
372,Al0.5CoCrCuFeNiTi0.2,Al0.5-Co-Cr-Cu-Fe-Ni-Ti0.2,HEA,Fusion por arco,FCC,7.5,272,191,NA,NA,NA
373,Al0.5CoCrCuFeNiTi0.4,Al0.5-Co-Cr-Cu-Fe-Ni-Ti0.4,HEA,Fusion por arco,FCC,7.3,321,188,NA,NA,NA
374,Al0.5CoCrCuFeNiTi0.6,Al0.5-Co-Cr-Cu-Fe-Ni-Ti-0.6,HEA,Fusion por arco,FCC+IM,7.2,458,186,NA,NA,NA
375,Al0.5CoCrCuFeNiTi0.8,Al0.5-Co-Cr-Cu-Fe-Ni-Ti-0.8,HEA,Fusion por arco,FCC+BCC+IM,7.1,590,184,NA,NA,NA
376,Al0.5CoCrCuFeNiTi,Al0.5-Co-Cr-Cu-Fe-Ni-Ti,HEA,Fusion por arco,FCC+BCC+IM,7,636,NA,NA,NA,NA
377,Al0.5CoCrCuFeNiTi1.2,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.2,HEA,Fusion por arco,FCC+BCC+IM,6.9,646,NA,NA,NA,NA
378,Al0.5CoCrCuFeNiTi1.4,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.4,HEA,Fusion por arco,FCC+BCC+IM,6.8,664,NA,NA,NA,NA
379,Al0.5CoCrCuFeNiTi1.6,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.6,HEA,Fusion por arco,FCC+BCC+IM,6.7,657,NA,NA,NA,NA
380,Al0.5CoCrCuFeNiTi1.8,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.8,HEA,Fusion por arco,FCC+BCC+IM,6.6,667,NA,NA,NA,NA
381,Al0.5CoCrCuFeNiTi2,Al0.5-Co-Cr-Cu-Fe-Ni-Ti2,HEA,Fusion por arco,FCC+BCC+IM,6.5,696,NA,NA,NA,NA
382,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,7.6,215,193,NA,NA,NA
383,Al0.5CoCrCuFeNiV0.2,Al0.5-Co-Cr-Cu-Fe-Ni-V0.2,HEA,Fusion por arco,FCC,7.6,204,191,NA,NA,NA
384,Al0.5CoCrCuFeNiV0.4,Al0.5-Co-Cr-Cu-Fe-Ni-V0.4,HEA,Fusion por arco,FCC+BCC,7.5,231,189,NA,NA,NA
385,Al0.5CoCrCuFeNiV0.6,Al0.5-Co-Cr-Cu-Fe-Ni-V0.6,HEA,Fusion por arco,FCC+BCC+IM,7.5,328,NA,NA,NA,NA
386,Al0.5CoCrCuFeNiV0.8,Al0.5-Co-Cr-Cu-Fe-Ni-V0.8,HEA,Fusion por arco,FCC+BCC+IM,7.4,447,NA,NA,NA,NA
387,Al0.5CoCrCuFeNiV1.0,Al0.5-Co-Cr-Cu-Fe-Ni-V,HEA,Fusion por arco,FCC+BCC+IM,7.4,639,NA,NA,NA,NA
388,Al0.5CoCrCuFeNiV1.2,"Al0.5-Co-Cr-Cu-Fe-Ni-V01,2",HEA,Fusion por arco,BCC,7.3,579,182,NA,NA,NA
389,Al0.5CoCrCuFeNiV1.4,"Al0.5-Co-Cr-Cu-Fe-Ni-V1,4",HEA,Fusion por arco,BCC,7.3,577,180,NA,NA,NA
390,Al0.5CoCrCuFeNiV1.6,"Al0.5-Co-Cr-Cu-Fe-Ni-V1,6",HEA,Fusion por arco,BCC,7.2,594,179,NA,NA,NA
391,Al0.5CoCrCuFeNiV1.8,"Al0.5-Co-Cr-Cu-Fe-Ni-V1,8",HEA,Fusion por arco,BCC,7.2,597,177,NA,NA,NA
392,Al0.5CoCrCuFeNiV2.0,"Al0.5-Co-Cr-Cu-Fe-Ni-V2,0",HEA,Fusion por arco,BCC,7.2,587,176,NA,NA,NA
393,AlCoCrCuFeNi,Al-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco +  enfriamiento en agua,FCC+BCC,7.1,472,184,NA,1510,16
394,AlCoCuFeNi,Al-Co-Cu-Fe-Ni,HEA,Fusion por arco +  enfriamiento en agua,FCC+BCC,7,536,164,NA,1330,9
395,AlCoCuFeNbNi,Al-Co-Cu-Fe-Nb-Ni,HEA,Fusion por arco +  enfriamiento en agua,FCC+BCC,7.4,578,NA,NA,670,7.6
396,AlCoCuFeNiSi,Al-Co-Cu-Fe-Ni-Si,HEA,Fusion por arco +  enfriamiento en agua,FCC+BCC,5.9,682,145,NA,1930,10
397,AlCoCuFeNiTi,Al-Co-Cu-Fe-Ni-Ti,HEA,Fusion por arco +  enfriamiento en agua,FCC+BCC,6.5,626,156,NA,1660,11
398,AlCoCuFeNiZr,Al-Co-Cu-Fe-Ni-Zr,HEA,Fusion por arco +  enfriamiento en agua,FCC+BCC+IM,6.9,472,NA,NA,1050,8
399,AlCoCrCuNiTi,Al-Co-Cr-Cu-Ni-Ti,HEA,Fusion por arco electrico,BCC+FCC,6.4,NA,36,NA,1495,8
400,AlCoCrCuNiTiY0.5,Al-Co-Cr-Cu-Ni-Ti-Y0.5,HEA,Fusion por arco electrico,FCC+BCC+IM,6.1,NA,36,NA,1025,3
401,AlCoCrCuNiTiY0.8,Al-Co-Cr-Cu-Ni-Ti-Y0.8,HEA,Fusion por arco electrico,FCC+BCC+IM,5.9,NA,38,NA,1325,5
402,AlCoCrCuNiTiY,Al-Co-Cr-Cu-Ni-Ti-Y,HEA,Fusion por arco electrico,FCC+BCC+IM,5.8,NA,37,NA,1192,4
403,CoCuFeNi,Fe25-Co25-Cu25-Ni25,HEA,Fusion por vacio,FCC,8.6,NA,188,NA,480,15
404,CoCuFeNiSn0.02,"Fe24,8-Co24,8-Cu24,8-Ni24,8-Sn0,5",HEA,Fusion por vacio,FCC,8.6,NA,187,NA,548,17
405,CoCuFeNiSn0.04,"Fe24,7-Co24,7-Cu24,7-Ni24,7-Sn1",HEA,Fusion por vacio,FCC+IM,8.6,NA,NA,NA,594,18
406,CoCuFeNiSn0.05,"Fe24,7-Co24,7-Cu24,7-Ni24,7-Sn1,23",HEA,Fusion por vacio,FCC+IM,8.6,NA,NA,NA,615,20
407,CoCuFeNiSn0.07,"Fe24,5-Co24,5-Cu24,5-Ni24,5-Sn1,7",HEA,Fusion por vacio,FCC+IM,8.6,NA,NA,NA,632,19
408,CoCuFeNiSn0.1,"Fe24,4-Co24,4-Cu24,4-Ni24,4-Sn2,5",HEA,Fusion por vacio,FCC+IM,8.6,NA,NA,NA,602,5
409,CoCuFeNiSn0.2,"Fe23,8-Co23,8-Cu23,8-Ni23,8-Sn4,76",HEA,Fusion por vacio,FCC+IM,8.5,NA,NA,NA,261,2
410,CoCuFeNiSn0.5,"Fe22,2-Co22,2-Cu22,2-Ni22,2-Sn11,1",HEA,Fusion por vacio,FCC+IM,8.3,NA,NA,NA,NA,NA
411,CoCuFeMnNi,Co-Cu-Fe-Mn-Ni,HEA,Fusion por vacio 1800°C,FCC,8.4,208,190,NA,478,14
