Numero,Aleacion ,Composicion (at.%),Categoria ,Fabricacion,Fases ,Categoría,Densidad (g/cm3),Dureza (HV),Modulo de Young (GPa),Limite Elastico (Mpa),Esfuerzo ultimo ,Deformacion,Fecha publicacion,DOI
336,AlCrFeNi,Al-Cr-Fe-Ni,MEA,Fusion por arco + homogenizacion por agitacion electromagnetica ,BCC1 + BCC2,BCC,6.3,472,190,1406,2927,29,27-mar-13,https://doi.org/10.1016/j.jallcom.2013.03.253
337,AlCrFeNiMo0.2,Al-Cr-Fe-Ni-Mo-0.2,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica ,BCC1 + BCC2,BCC,6.5,549,197,1487,3222,29,27-mar-13,https://doi.org/10.1016/j.jallcom.2013.03.253
338,AlCrFeNiMo0.5,Al-Cr-Fe-Ni-Mo-0.5,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica ,BCC1 + BCC2,BCC,6.8,622,205,1749,2644,13,27-mar-13,https://doi.org/10.1016/j.jallcom.2013.03.253
339,AlCrFeNiMo0.8,Al-Cr-Fe-Ni-Mo-0.8,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica ,BCC1 + fase σ,BCC+IM,7.0,854,N/A,1513,1513,< 1,27-mar-13,https://doi.org/10.1016/j.jallcom.2013.03.253
340,AlCrFeNiMo,Al-Cr-Fe-Ni-Mo,HEA,Fusion por arco + homogenizacion por agitacion electromagnetica ,BCC1 + fase σ,BCC+IM,7.2,905,N/A,N/A,N/A,N/A,27-mar-13,https://doi.org/10.1016/j.jallcom.2013.03.253
341,CoCrCuFe,Co-Cr-Cu-Fe,HEA,N/A,FCC,FCC,8.2,134,206,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
342,Al0.3CoCrCuFe,Al0.3-Co-Cr-Cu-Fe,HEA,N/A,FCC,FCC,7.7,180,194,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
343,Al0.5CoCrCuFe,Al0.5-Co-Cr-Cu-Fe,HEA,N/A,FCC,FCC,7.4,207,187,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
344,Al0.8CoCrCuFe,Al0.8-Co-Cr-Cu-Fe,HEA,N/A,FCC + BCC,FCC+BCC,7.0,271,177,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
345,AlCoCrCuFe,Al-Co-Cr-Cu-Fe,HEA,N/A,FCC + BCC,FCC+BCC,6.8,407,172,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
346,Al1.3CoCrCuFe,"Al1,3-Co-Cr-Cu-Fe",HEA,N/A,FCC + BCC,FCC+BCC,6.5,476,165,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
347,Al1.5CoCrCuFe,"Al1,5-Co-Cr-Cu-Fe",HEA,N/A,FCC + BCC,FCC+BCC,6.3,510,167,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
348,Al1.8CoCrCuFe,Al1.8-Co-Cr-Cu-Fe,HEA,N/A,FCC + BCC,FCC+BCC,6.0,557,155,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
349,Al2.0CoCrCuFe,"Al2,0-Co-Cr-Cu-Fe",HEA,N/A,FCC + BCC,FCC+BCC,5.9,567,152,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
350,Al2.3CoCrCuFe,"Al2,3-Co-Cr-Cu-Fe",HEA,N/A,FCC + BCC,FCC+BCC,5.7,603,147,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
351,Al2.5CoCrCuFe,"Al2,5-Co-Cr-Cu-Fe",HEA,N/A,FCC + BCC,FCC+BCC,5.6,624,144,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
352,Al2.8CoCrCuFe,"Al2,8-Co-Cr-Cu-Fe",HEA,N/A,BCC,BCC,5.5,657,140,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
353,Al3.0CoCrCuFe,"Al3,0-Co-Cr-Cu-Fe",HEA,N/A,BCC,BCC,5.4,644,138,N/A,N/A,N/A,26-may-14,(PDF) Recent progress in high-entropy alloys (researchgate.net)
354,Cu0.5CoCrFeNi,Cu0.5-Co-Cr-Fe-Ni,HEA,Fundicion bajo atmosfera de argon,FCC,FCC,8.3,172,214,N/A,N/A,N/A,22-mar-10,https://doi.org/10.1016/j.intermet.2010.03.030
355,CoCrCuFeNi,Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,FCC,8.3,132,56,230,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
356,Al0.3CoCrCuFeNi,Al0.3-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,FCC,7.9,180,198,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
357,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,FCC,7.6,210,193,388,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
358,Al0.8CoCrCuFeNi,Al0.8-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,FCC,7.3,270,187,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
359,AlCoCrCuFeNi,Al-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.1,406,183,950,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
360,Al1.3CoCrCuFeNi,Al1.3-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.8,470,178,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
361,Al1.5CoCrCuFeNi,Al1.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.6,506,133,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
362,Al1.8CoCrCuFeNi,Al1.8-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.4,650,170,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
363,Al2CoCrCuFeNi,"Al2,0-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.3,560,167,1620,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
364,Al2.3CoCrCuFeNi,"Al2,3-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.1,600,163,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
365,Al2.5CoCrCuFeNi,"Al2,5-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.0,620,161,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
366,Al2.8CoCrCuFeNi,"Al2,8-Co-Cr-Cu-Fe-Ni",HEA,Fusion por arco,BCC,BCC,5.8,650,157,N/A,N/A,N/A,01-abr-05,https://doi.org/10.1007/s11661-005-0283-0
367,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion ,FCC,FCC,7.6,300,193,N/A,N/A,N/A,11-jun-07,http://dx.doi.org/10.1149/1.2744133
368,Al0.5B0.2CoCrCuFeNi,Al0.5-B0.2-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion ,"FCC + (Cr,Fe)B",FCC+IM,7.7,415,N/A,N/A,N/A,N/A,11-jun-07,http://dx.doi.org/10.1149/1.2744133
369,Al0.5B0.6CoCrCuFeNi,Al0.5-B0.6-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion ,"FCC + (Cr,Fe)B",FCC+IM,7.7,505,N/A,N/A,N/A,N/A,11-jun-07,http://dx.doi.org/10.1149/1.2744133
370,Al0.5BCoCrCuFeNi,Al0.5-B-Co-Cr-Cu-Fe-Ni,HEA,Fusion por induccion ,"FCC + (Cr,Fe)B",FCC+IM,7.8,736,N/A,N/A,N/A,N/A,11-jun-07,http://dx.doi.org/10.1149/1.2744133
371,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,FCC,7.6,225,193,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
372,Al0.5CoCrCuFeNiTi0.2,Al0.5-Co-Cr-Cu-Fe-Ni-Ti0.2,HEA,Fusion por arco,FCC,FCC,7.5,272,191,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
373,Al0.5CoCrCuFeNiTi0.4,Al0.5-Co-Cr-Cu-Fe-Ni-Ti0.4,HEA,Fusion por arco,FCC,FCC,7.3,321,188,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
374,Al0.5CoCrCuFeNiTi0.6,Al0.5-Co-Cr-Cu-Fe-Ni-Ti-0.6,HEA,Fusion por arco,FCC + BCC,FCC+IM,7.2,458,186,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
375,Al0.5CoCrCuFeNiTi0.8,Al0.5-Co-Cr-Cu-Fe-Ni-Ti-0.8,HEA,Fusion por arco,FCC + BCC + CoCr,FCC+BCC+IM,7.1,590,184,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
376,Al0.5CoCrCuFeNiTi,Al0.5-Co-Cr-Cu-Fe-Ni-Ti,HEA,Fusion por arco,FCC + BCC + CoCr,FCC+BCC+IM,7.0,636,N/A,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
377,Al0.5CoCrCuFeNiTi1.2,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.2,HEA,Fusion por arco,FCC + BCC + CoCr + Ti2Ni,FCC+BCC+IM,6.9,646,N/A,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
378,Al0.5CoCrCuFeNiTi1.4,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.4,HEA,Fusion por arco,FCC + BCC + Ti2Ni,FCC+BCC+IM,6.8,664,N/A,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
379,Al0.5CoCrCuFeNiTi1.6,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.6,HEA,Fusion por arco,FCC + BCC + Ti2Ni,FCC+BCC+IM,6.7,657,N/A,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
380,Al0.5CoCrCuFeNiTi1.8,Al0.5-Co-Cr-Cu-Fe-Ni-Ti1.8,HEA,Fusion por arco,FCC + BCC + Ti2Ni,FCC+BCC+IM,6.6,667,N/A,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
381,Al0.5CoCrCuFeNiTi2,Al0.5-Co-Cr-Cu-Fe-Ni-Ti2,HEA,Fusion por arco,FCC + BCC + Ti2Ni,FCC+BCC+IM,6.5,696,N/A,N/A,N/A,N/A,02-abr-05,http://dx.doi.org/10.2320/matertrans.47.1395
382,Al0.5CoCrCuFeNi,Al0.5-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco,FCC,FCC,7.6,215,193,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
383,Al0.5CoCrCuFeNiV0.2,Al0.5-Co-Cr-Cu-Fe-Ni-V0.2,HEA,Fusion por arco,FCC,FCC,7.6,204,191,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
384,Al0.5CoCrCuFeNiV0.4,Al0.5-Co-Cr-Cu-Fe-Ni-V0.4,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.5,231,189,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
385,Al0.5CoCrCuFeNiV0.6,Al0.5-Co-Cr-Cu-Fe-Ni-V0.6,HEA,Fusion por arco,FCC + BCC + Im,FCC+BCC+IM,7.5,328,N/A,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
386,Al0.5CoCrCuFeNiV0.8,Al0.5-Co-Cr-Cu-Fe-Ni-V0.8,HEA,Fusion por arco,FCC + BCC + Im,FCC+BCC+IM,7.4,447,N/A,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
387,Al0.5CoCrCuFeNiV1.0,Al0.5-Co-Cr-Cu-Fe-Ni-V,HEA,Fusion por arco,FCC + BCC + Im,FCC+BCC+IM,7.4,639,N/A,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
388,Al0.5CoCrCuFeNiV1.2,"Al0.5-Co-Cr-Cu-Fe-Ni-V01,2",HEA,Fusion por arco,BCC,BCC,7.3,579,182,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
389,Al0.5CoCrCuFeNiV1.4,"Al0.5-Co-Cr-Cu-Fe-Ni-V1,4",HEA,Fusion por arco,BCC,BCC,7.3,577,180,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
390,Al0.5CoCrCuFeNiV1.6,"Al0.5-Co-Cr-Cu-Fe-Ni-V1,6",HEA,Fusion por arco,BCC,BCC,7.2,594,179,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
391,Al0.5CoCrCuFeNiV1.8,"Al0.5-Co-Cr-Cu-Fe-Ni-V1,8",HEA,Fusion por arco,BCC,BCC,7.2,597,177,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
392,Al0.5CoCrCuFeNiV2.0,"Al0.5-Co-Cr-Cu-Fe-Ni-V2,0",HEA,Fusion por arco,BCC,BCC,7.2,587,176,N/A,N/A,N/A,02-abr-05,https://doi.org/10.1007/s11661-006-0081-3
393,AlCoCrCuFeNi,Al-Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco +  enfriamiento en agua,FCC + BCC,FCC+BCC,7.1,472,184,N/A,1510,16,02-jul-12,https://doi.org/10.1016/j.msea.2012.07.003
394,AlCoCuFeNi,Al-Co-Cu-Fe-Ni,HEA,Fusion por arco +  enfriamiento en agua,FCC + BCC,FCC+BCC,7.0,536,164,N/A,1330,9,02-jul-12,https://doi.org/10.1016/j.msea.2012.07.003
395,AlCoCuFeNbNi,Al-Co-Cu-Fe-Nb-Ni,HEA,Fusion por arco +  enfriamiento en agua,ZrFe3Al,FCC+BCC,7.4,578,N/A,N/A,670,7.6,02-jul-12,https://doi.org/10.1016/j.msea.2012.07.003
396,AlCoCuFeNiSi,Al-Co-Cu-Fe-Ni-Si,HEA,Fusion por arco +  enfriamiento en agua,FCC + BCC,FCC+BCC,5.9,682,145,N/A,1930,10,02-jul-12,https://doi.org/10.1016/j.msea.2012.07.003
397,AlCoCuFeNiTi,Al-Co-Cu-Fe-Ni-Ti,HEA,Fusion por arco +  enfriamiento en agua,FCC + BCC,FCC+BCC,6.5,626,156,N/A,1660,11,02-jul-12,https://doi.org/10.1016/j.msea.2012.07.003
398,AlCoCuFeNiZr,Al-Co-Cu-Fe-Ni-Zr,HEA,Fusion por arco +  enfriamiento en agua,FCC + BCC + ZrFe3Al,FCC+BCC+IM,6.9,472,N/A,N/A,1050,8,02-jul-12,https://doi.org/10.1016/j.msea.2012.07.003
399,AlCoCrCuNiTi,Al-Co-Cr-Cu-Ni-Ti,HEA,Fusion por arco electrico,BCC + Cu,BCC+FCC,6.4,N/A,36,N/A,1495,8,09-sept-09,https://doi.org/10.1016/j.matdes.2009.09.016
400,AlCoCrCuNiTiY0.5,Al-Co-Cr-Cu-Ni-Ti-Y0.5,HEA,Fusion por arco electrico,Cu2Y + Alni2Ti + Cr,FCC+BCC+IM,6.1,N/A,36,N/A,1025,3,09-sept-09,https://doi.org/10.1016/j.matdes.2009.09.016
401,AlCoCrCuNiTiY0.8,Al-Co-Cr-Cu-Ni-Ti-Y0.8,HEA,Fusion por arco electrico,Cu2Y + Alni2Ti + Cr,FCC+BCC+IM,5.9,N/A,38,N/A,1325,5,09-sept-09,https://doi.org/10.1016/j.matdes.2009.09.016
402,AlCoCrCuNiTiY,Al-Co-Cr-Cu-Ni-Ti-Y,HEA,Fusion por arco electrico,Cu2Y + Alni2Ti + Cr + unknoun,FCC+BCC+IM,5.8,N/A,37,N/A,1192,4,09-sept-09,https://doi.org/10.1016/j.matdes.2009.09.016
403,CoCuFeNi,Fe25-Co25-Cu25-Ni25,HEA,Fusion por vacio ,FCC,FCC,8.6,N/A,188,N/A,480,15,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
404,CoCuFeNiSn0.02,"Fe24,8-Co24,8-Cu24,8-Ni24,8-Sn0,5",HEA,Fusion por vacio ,FCC,FCC,8.6,N/A,187,N/A,548,17,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
405,CoCuFeNiSn0.04,"Fe24,7-Co24,7-Cu24,7-Ni24,7-Sn1",HEA,Fusion por vacio ,FCC + Cu81Sn22,FCC+IM,8.6,N/A,N/A,N/A,594,18,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
406,CoCuFeNiSn0.05,"Fe24,7-Co24,7-Cu24,7-Ni24,7-Sn1,23",HEA,Fusion por vacio ,FCC + Cu81Sn22,FCC+IM,8.6,N/A,N/A,N/A,615,20,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
407,CoCuFeNiSn0.07,"Fe24,5-Co24,5-Cu24,5-Ni24,5-Sn1,7",HEA,Fusion por vacio ,FCC + Cu81Sn22,FCC+IM,8.6,N/A,N/A,N/A,632,19,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
408,CoCuFeNiSn0.1,"Fe24,4-Co24,4-Cu24,4-Ni24,4-Sn2,5",HEA,Fusion por vacio ,FCC + Cu81Sn22,FCC+IM,8.6,N/A,N/A,N/A,602,5,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
409,CoCuFeNiSn0.2,"Fe23,8-Co23,8-Cu23,8-Ni23,8-Sn4,76",HEA,Fusion por vacio ,FCC + Cu81Sn22,FCC+IM,8.5,N/A,N/A,N/A,261,2,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
410,CoCuFeNiSn0.5,"Fe22,2-Co22,2-Cu22,2-Ni22,2-Sn11,1",HEA,Fusion por vacio ,FCC + Cu81Sn22,FCC+IM,8.3,N/A,N/A,N/A,N/A,N/A,08-mar-12,https://doi.org/10.1016/j.msea.2012.03.080
411,CoCuFeMnNi,Co-Cu-Fe-Mn-Ni,HEA,Fusion por vacio 1800°C,FCC,FCC,8.4,208,190,N/A,478,14,08-sept-12,https://doi.org/10.1016/j.matdes.2012.08.019
412,CoCuFeMnNiSn0.03,Co-Cu-Fe-Mn-Ni-Sn0.03,HEA,Fusion por vacio 1800°C,FCC,FCC,8.4,192,N/A,N/A,465,18,08-sept-12,https://doi.org/10.1016/j.matdes.2012.08.019
413,CoCuFeMnNiSn0.05,Co-Cu-Fe-Mn-Ni-Sn-0.05,HEA,Fusion por vacio 1800°C,"FCC + Cu5,6Sn",FCC+IM,8.4,205,N/A,N/A,475,12,08-sept-12,https://doi.org/10.1016/j.matdes.2012.08.019
414,CoCuFeMnNiSn0.08,Co-Cu-Fe-Mn-Ni-Sn-0.08,HEA,Fusion por vacio 1800°C,"FCC + Cu5,6Sn",FCC+IM,8.3,219,N/A,N/A,425,7,08-sept-12,https://doi.org/10.1016/j.matdes.2012.08.019
415,CoCuFeMnNiSn0.10,Co-Cu-Fe-Mn-Ni-Sn-0.1,HEA,Fusion por vacio 1800°C,"FCC + Cu5,6Sn",FCC+IM,8.3,253,N/A,N/A,470,6,08-sept-12,https://doi.org/10.1016/j.matdes.2012.08.019
416,CoCuFeMnNiSn0.20,Co-Cu-Fe-Mn-Ni-Sn-0.2,HEA,Fusion por vacio 1800°C,"FCC + Cu5,6Sn",FCC+IM,8.3,319,N/A,N/A,368,2,08-sept-12,https://doi.org/10.1016/j.matdes.2012.08.019
417,CoCrCuFeNi,Co-Cr-Cu-Fe-Ni,HEA,Fusion por arco al vacio + calentamiento 650°C por 4 h,FCC,FCC,8.3,286,56,230,888,51,19-nov-11,https://doi.org/10.1016/j.msea.2011.11.063
418,AlCrCuFeNi0.6,Al-Cr-Cu-Fe-Ni0.6,HEA,Fusion por arco al vacio + calentamiento 650°C por 4 h,FCC + BCC,FCC+BCC,6.6,496,176,N/A,N/A,N/A,19-nov-11,https://doi.org/10.1016/j.msea.2011.11.063
419,AlCrCuFeNi0.8,Al-Cr-Cu-Fe-Ni0.8,HEA,Fusion por arco al vacio + calentamiento 650°C por 4 h,FCC + BCC,FCC+BCC,6.7,486,177,N/A,N/A,N/A,19-nov-11,https://doi.org/10.1016/j.msea.2011.11.063
420,AlCrCuFeNi,Al-Cr-Cu-Fe-Ni,HEA,Fusion por arco al vacio + calentamiento 650°C por 4 h,"FCC + BCC + AlFe0,23Ni0,77",FCC+BCC+IM,6.8,495,178,N/A,N/A,N/A,19-nov-11,https://doi.org/10.1016/j.msea.2011.11.063
421,AlCrCuFeNi1.2,Al-Cr-Cu-Fe-Ni1.2,HEA,Fusion por arco al vacio + calentamiento 650°C por 4 h,FCC + BCC,FCC+BCC,6.8,407,179,N/A,N/A,N/A,19-nov-11,https://doi.org/10.1016/j.msea.2011.11.063
422,AlCrCuFeNi1.4,Al-Cr-Cu-Fe-Ni1.4,HEA,Fusion por arco al vacio + calentamiento 650°C por 4 h,FCC + BCC,FCC+BCC,6.9,367,180,N/A,N/A,N/A,19-nov-11,https://doi.org/10.1016/j.msea.2011.11.063
423,AlCrCuFeNi2,Al-Cr-Cu-Fe-Ni2,HEA,Fusion por arco,FCC + BCC,FCC+BCC,7.1,N/A,182,N/A,N/A,N/A,16-may-11,https://doi.org/10.1063/1.3587228
424,Al0.2CrCuFeNi2,Al0.2-Cr-Cu-Fe-Ni2,HEA,Fusion por arco,FCC,FCC,8.0,N/A,199,N/A,N/A,N/A,16-may-11,https://doi.org/10.1063/1.3587228
425,Al0.4CrCuFeNi2,Al0.4-Cr-Cu-Fe-Ni2,HEA,Fusion por arco,FCC,FCC,7.8,N/A,194,N/A,N/A,N/A,16-may-11,https://doi.org/10.1063/1.3587228
426,Al0.6CrCuFeNi2,Al0.6-Cr-Cu-Fe-Ni2,HEA,Fusion por arco,FCC,FCC,7.5,N/A,190,N/A,N/A,N/A,16-may-11,https://doi.org/10.1063/1.3587228
427,Al0.8CrCuFeNi2,Al0.8-Cr-Cu-Fe-Ni2,HEA,Fusion por arco,FCC,FCC,7.3,N/A,186,N/A,N/A,N/A,16-may-11,https://doi.org/10.1063/1.3587228
428,Al1.2CrCuFeNi2,Al1.2-Cr-Cu-Fe-Ni2,HEA,Fusion por arco,FCC + BCC,FCC+BCC,6.9,N/A,178,N/A,N/A,N/A,16-may-11,https://doi.org/10.1063/1.3587228
429,AlCrCuFeNiTi,Al-Cr-Cu-Fe-Ni-Ti,HEA,Fusion por arco al vacio ,BCC1 + BCC2 + Fe2Ti,BCC+IM,6.3,N/A,N/A,N/A,1219,N/A,18-feb-11,https://doi.org/10.1016/j.jallcom.2011.02.108
430,Al1.125CuFe0.75NiTi1.125,Al1.125-Cu-Fe0.75-Ni-Ti1.126,HEA,Fusion por induccion al vacio en atmosfera de argon,FCC,FCC,5.9,516,145,980,1326,7,30-jul-15,https://doi.org/10.1016/j.apsusc.2015.07.207
431,Al22.5Cu20Fe15Ni20Ti22.5,Al22.5-Cu20-Fe15-Ni20-Ti22.6,HEA,Fusion por induccion al vacio en atmosfera de argon,FCC ,FCC,5.9,516,145,980,1326,7,30-jul-15,https://doi.org/10.1016/j.apsusc.2015.07.207
432,AlCuFeNiTi,Al-Cu-Fe-Ni-Ti,HEA,Fusion por induccion al vacio en atmosfera de argon,FCC,FCC,6.1,516,146,1074,1617,8,30-jul-15,https://doi.org/10.1016/j.apsusc.2015.07.207
433,AlCuNiTi,Al-Cu-Ni-Ti,MEA,Fusion por induccion al vacio en atmosfera de argon,FCC,FCC,5.7,537,108,300,536,< 1,30-jul-15,https://doi.org/10.1016/j.apsusc.2015.07.207
434,AlCr0.5NbTiV,Al-Cr0.5-Nb-Ti-V,Refractario,Fusion por arco cpn enfriamiento de agua + homogenizado 1200 °C por 24 h,BCC,BCC,5.6,N/A,124,1300,1430,< 1,25-ago-15,https://doi.org/10.1016/j.jallcom.2015.08.224
435,AlCrNbTiV,Al-Cr-Nb-Ti-V,Refractario,Fusion por arco cpn enfriamiento de agua + homogenizado 1200 °C por 24 h,BCC + Im,BCC+IM,5.8,N/A,N/A,1550,1570,< 1,25-ago-15,https://doi.org/10.1016/j.jallcom.2015.08.224
436,AlCr1.5NbTiV,Al-Cr1.5-Nb-Ti-V,Refractario,Fusion por arco cpn enfriamiento de agua + homogenizado 1200 °C por 24 h,FCC + Im,FCC+IM,5.9,N/A,N/A,1700,1700,< 1,25-ago-15,https://doi.org/10.1016/j.jallcom.2015.08.224
437,Al-Nb-Ti-V,Al-Nb-Ti-V,Refractario,Fusion por arco cpn enfriamiento de agua + homogenizado 1200 °C por 24 h,BCC,BCC,5.5,N/A,105,1000,1280,5,25-ago-15,https://doi.org/10.1016/j.jallcom.2015.08.224
438,Al0.4Hf0.6NbTaTiZr,"Al7,9-Hf12,8-Nb23-Ta16,8-Ti18,9-Zr20,6",Refractario,Aleacion por arco al vacio,BCC,BCC,9.1,500,110,1841,2269,10,12-jun-14,https://doi.org/10.1007/s11837-014-1066-0
439,AlMo0.5NbTa0.5TiZr,"Al20,4-Mo10,5-Nb22,4-Ta10,1-Ti17,8-Zr18,8",Refractario,Aleacion por arco al vacio,BCC,BCC,7.1,591,123,2000,2368,10,12-jun-14,https://doi.org/10.1007/s11837-014-1066-0
440,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,"Al5,2-Nb23,4-Ta13,2-Ti27,7-V4,3-Zr26,2",Refractario,Aleacion por arco al vacio,BCC,BCC,7.7,500,110,1965,2061,5,12-jun-14,https://doi.org/10.1007/s11837-014-1066-0
441,Al0.5NbTa0.8Ti1.5V0.2Zr,"Al11,3-Nb22,3-Ta13,1-Ti27,9-V4,5-Zr20,9",Refractario,Aleacion por arco al vacio,BCC,BCC,7.6,530,111,2035,2105,5,12-jun-14,https://doi.org/10.1007/s11837-014-1066-0
442,Al0.3NbTaTi1.4Zr1.3,"Al5,7-Nb23,5-Ta17,6-Ti27,2-Zr26",Refractario,Aleacion por arco al vacio,BCC,BCC,8.1,490,113,1965,2054,5,12-jun-14,https://doi.org/10.1007/s11837-014-1066-0
443,AlNb1.5Ta0.5Ti1.5Zr0.5,"Al21,9-Nb32-Ta9-Ti26,7-Zr10,3",Refractario,Aleacion por arco al vacio,BCC,BCC,6.8,408,106,1280,1367,4,12-jun-14,https://doi.org/10.1007/s11837-014-1066-0
444,Al0.3HfNbTaTiZr,"Al6,6-Hf18,7-Nb18,6-Ta18,4-Ti18,4-Zr19,3",Refractario,Aleacion por arco al vacio,BCC,BCC,9.5,353,63,1188,N/A,50,08-nov-14,https://doi.org/10.1016/j.jallcom.2014.11.064
